route_long_name,route_short_name,agency_id,route_type,route_id
8th Mile Dasarahalli ⇔ Peenya 2nd Stage,BC-7B PSS-NLGH-8thM,1,3,6080
8th Mile Dasarahalli ⇔ Peenya 2nd Stage,PSS-NLGDH-8THM,1,3,7834
Abbigere ⇔ Peenya 2nd stage,270-D PSS-ABG,1,3,4759
Abbigere ⇔ Peenya 2nd stage,273-B PSS-ABG,1,3,4798
Abbigere ⇔ Peenya 2nd stage,401-AK ABG-PSS,1,3,3907
Annapoorneshwarinagara ⇔ Peenya 2nd Stage,MBS-12 PSS-ANP,1,3,3831
Chikka Banavara ⇔ Peenya 2nd Stage,248-AB,1,3,3864
Chikka Banavara ⇔ Peenya 2nd Stage,MF-32 PSS-CKB,1,3,7143
Depot-31 Gate ⇔ Peenya 2nd Stage,401-M PSS-KTS-D31G,1,3,1626
Gangondanahalli ⇔ Peenya 2nd stage,PSS-TGPL-GGH,1,3,7403
Geleyara Balaga Layout ⇔ Peenya 2nd Stage,250-S PSS-GLB,1,3,2780
HAL ARDC ⇔ Peenya 2nd Stage,252-A PSS-HAL ARDC,1,3,9636
HAL ARDC ⇔ Peenya 2nd Stage,252-F PSS-HAL ARDC,1,3,9581
Herohalli Cross ⇔ Peenya 2nd Stage,BC-7B PSS-ANDRH-HRHC,1,3,7888
Hesaraghatta ⇔ Peenya 2nd Stage,253-J PSS-HGV,1,3,3920
ISRO Murugeshpalya ⇔ Peenya 2nd Stage,252-A PSS-ISROM,1,3,6551
Jalahalli Cross Metro Station Departure ⇔ Peenya 2nd Stage,JHMS-PSS,1,3,7296
Jalahalli Cross ⇔ Peenya 2nd Stage,MF-26 PSS-JHMS,1,3,3935
KR Market (Kalasipalya) ⇔ Peenya 2nd Stage,251E PSS-KMT,1,3,6979
KR Market ⇔ Peenya 2nd stage,252 PSS-KMT,1,3,2764
Kadugodi Bus Station ⇔ Peenya 2nd Stage,507-B,1,3,3430
Kempapura ⇔ Peenya 2nd Stage,254-E PSS-KMP,1,3,3158
Laggere New Bus Stand ⇔ Peenya 2nd Stage,251-C PSS-RPS-LGR,1,3,2787
Laggere New Bus Stand ⇔ Peenya 2nd Stage,PSS-NTTF-LGRNBS,1,3,3916
Marathahalli Bridge ⇔ Peenya 2nd stage,MBS-17 MHB-HBL-JHV-PSS,1,3,8842
Nelamangala Bus Station ⇔ Peenya 2nd stage,256-F,1,3,2644
Peenya 2nd Stage ⇔ Abbigere,401-AK PSS-ABG,1,3,3878
Peenya 2nd Stage ⇔ Bandi Reddy Circle,252-L,1,3,2826
Peenya 2nd Stage ⇔ Byadarahalli,BC-7B BDYH-PSS,1,3,8276
Peenya 2nd Stage ⇔ Depot-22 Peenya,D22-PSS,1,3,1548
Peenya 2nd Stage ⇔ Devanahalli Old Bus Stand,401-AM,1,3,1427
Peenya 2nd Stage ⇔ KR Pura Market,507,1,3,8543
Peenya 2nd Stage ⇔ Kempegowda Bus Station,252,1,3,1553
Peenya 2nd Stage ⇔ Kempegowda Bus Station,252-F,1,3,1621
Peenya 2nd Stage ⇔ Kempegowda Bus Station,273,1,3,2559
Peenya 2nd Stage ⇔ Kempegowda Bus Station,G-252 KBS D9 D22-PSS,1,3,8178
Peenya 2nd Stage ⇔ Laggere New Bus Stand,252 LGR-PSS,1,3,1610
Peenya 2nd Stage ⇔ Peenya 2nd stage,CHAKRA-7,1,3,9534
Peenya 2nd Stage ⇔ Puttenahalli,401-AM PTH-PSS,1,3,1428
Peenya 2nd Stage ⇔ Shivajinagara Bus Station,252-A,1,3,1612
Peenya 2nd Stage ⇔ Summanahalli,PSS-RGPS-SMH,1,3,9108
Peenya 2nd Stage ⇔ Yelahanka Old Town,401-A,1,3,1367
Peenya 2nd stage ⇔ Depot-09 Peenya,D9-PSS,1,3,1549
Peenya 2nd stage ⇔ Marathahalli Bridge,500-D MRHB-HBL-PSS,1,3,7632
Peenya 2nd stage ⇔ Peenya 2nd Stage,CHAKRA-7A,1,3,9535
Sasuveghatta ⇔ Peenya 2nd Stage,250-SB PSS-SVG,1,3,2786
Sharadamba Nagara ⇔ Peenya 2nd stage,273 SDN-PSS,1,3,8592
Somashettyhalli ⇔ Peenya 2nd Stage,250-F PSS-SSHL,1,3,2770
Thammenahalli ⇔ Peenya 2nd Stage,250-E PSS-TMH,1,3,2767
Therelek Engineers PVT LTD Peenya ⇔ Peenya 2nd Stage,265-A PSS-TEPL,1,3,3951
Thore Nagasandra ⇔ Peenya 2nd Stage,253-D PSS-TRN,1,3,2861
Vidhana Soudha Karnataka High Court ⇔ Peenya 2nd Stage,273 VSD-RJB-PSS,1,3,9132
Vigneshwara Nagara ⇔ Peenya 2nd Stage,265-D PSS-VGN,1,3,3629
Yelahanka Old Town ⇔ Peenya 2nd Stage,401-A PSS-SGP-YHK,1,3,8781
