stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
8th Mile Dasarahalli,,8thML,20593,8th Mile Dasarahalli (Towards Bagalagunte),13.04622,77.50755,,
8th Mile Dasarahalli,,8thML,20594,8th Mile Dasarahalli (Towards Jalahalli Cross),13.04541,77.50795,,
8th Mile Dasarahalli,,8thML,35570,8th Mile Dasarahalli (Towards Nelamangala),13.0451,77.50748,,
8th Mile Dasarahalli,,8thML,35571,8th Mile Dasarahalli (Towards Nelagadaranahalli),13.04553,77.50554,,
AIR FORCE Quarters,,ARFCQT,35531,AIR FORCE Quarters (Towards Shettahalli),13.05895,77.52139,,
Abbigere,,ABGR2,29430,Abbigere (Towards Abbigere Cross),13.07696,77.52587,,
Abbigere,,ABGR2,35562,Abbigere (Towards Kempegowda  Garden),13.07692,77.52589,,
Abbigere Cross,,ABGRC1,29431,Abbigere Cross (Towards Abbigere),13.07068,77.52978,,
Abbigere Cross,,ABGRC1,35561,Abbigere Cross (Towards Kammagondanahalli),13.07069,77.52981,,
Abbigere Dinne,,ABGRDN,35560,Abbigere Dinne (Towards Janapriya Greenwood Apartments),13.07099,77.52812,,
Acharya College,,ACRC,22965,Acharya College (Towards Andrahalli),13.00234,77.48822,,
Acharya Institute of Technology,,ACRIT1,29434,Acharya Institute of Technology (Towards Janapriya Apartment),13.08354,77.4841,,
Adakimaranahalli,,ADKMH,29439,Adakimaranahalli (Towards Nelamangala),13.07028,77.44482,,
Airport Trumpet,,TRMPT,29465,Airport Trumpet (Towards Devanahalli),13.19908,77.65792,,
Airport Trumpet,,TRMPT,35529,Airport Trumpet (Towards Yalahanka),13.19905,77.6582,,
Aladamara Laggere,,ALDML1,29476,Aladamara Laggere (Towards Laggere Cross),13.01327,77.52095,,
Aladamara Laggere,,ALDML1,35519,Aladamara Laggere (Towards Laggere New Bus Stand),13.01332,77.52098,,
Alisda,,ALSD1,21452,Alisda (Towards BEL Circle),13.03392,77.54098,,
Alisda,,ALSD1,21453,Alisda (Towards Goraguntapalya),13.03404,77.54112,,
Ananda Rao Circle,,A R C,20603,Ananda Rao Circle (Towards Malleshwaram),12.98115,77.57466,,
Anchepalya,,ANCP,23084,Anchepalya (Towards Nelamangala),13.05497,77.47936,,
Andhrahalli,,ADH1,29518,Andhrahalli (Towards Herohalli),13.00805,77.48484,,
Andhrahalli,,ADH1,35482,Andhrahalli (Towards Thigalarapalya),13.00802,77.48484,,
Andhrahalli Govt School,,ANDHGS1,29520,Andhrahalli Govt School (Towards Andrahalli),13.00956,77.48295,,
Andhrahalli Govt School,,ANDHGS1,35480,Andhrahalli Govt School (Towards Thiglarapalya),13.00952,77.48294,,
Andhrahalli Road Field,,ADHF1,40685,Andhrahalli Road Field (Towards Andhrahalli),13.00797,77.50077,,
Andhrahalli Road Field,,ADHF1,40686,Andhrahalli Road Field (Towards Peenya 2nd Stage),13.00796,77.50086,,
Anjananagara,,AJN8,21455,Anjananagara (Towards Sunkadakatte),12.98617,77.48817,,
Anjaneya Temple Nelamangala,,NMLAT,29533,Anjaneya Temple Nelamangala (Towards Nelamangala),13.09723,77.39774,,
Anjaneya Temple Thigalarapalya,,ATTGP1,29534,Anjaneya Temple Thigalarapalya (Towards Thigalarapalya),13.01371,77.48343,,
Anjaneya Temple Thigalarapalya,,ATTGP1,35468,Anjaneya Temple Thigalarapalya (Towards Andrahalli),13.01372,77.48347,,
Annapoorneshwarinagara,,ANPNC1,22687,Annapoorneshwarinagara (Towards Sunkadakatte),12.98002,77.50667,,
